timestamp,src_ip,dst_ip,proto,src_port,dst_port,flags,packet_len,label
1745350869.272356,192.168.100.4,192.168.100.5,TCP,22,46716,A,66,ssh_brute_force
1745350870.922298,192.168.100.4,192.168.100.5,TCP,22,46748,PA,118,ssh_brute_force
1745350870.924232,192.168.100.5,192.168.100.4,TCP,46748,22,PA,142,ssh_brute_force
1745350870.924260,192.168.100.4,192.168.100.5,TCP,22,46748,A,66,ssh_brute_force
1745350872.578397,192.168.100.4,192.168.100.5,TCP,22,46718,PA,118,ssh_brute_force
1745350872.580177,192.168.100.5,192.168.100.4,TCP,46718,22,PA,142,ssh_brute_force
1745350872.580200,192.168.100.4,192.168.100.5,TCP,22,46718,A,66,ssh_brute_force
1745350872.624425,192.168.100.4,192.168.100.5,TCP,22,46736,PA,118,ssh_brute_force
1745350872.624535,192.168.100.4,192.168.100.5,TCP,22,46716,PA,118,ssh_brute_force
1745350872.626711,192.168.100.5,192.168.100.4,TCP,46736,22,PA,142,ssh_brute_force
1745350872.626712,192.168.100.5,192.168.100.4,TCP,46716,22,PA,142,ssh_brute_force
1745350872.626742,192.168.100.4,192.168.100.5,TCP,22,46736,A,66,ssh_brute_force
1745350872.626924,192.168.100.4,192.168.100.5,TCP,22,46716,A,66,ssh_brute_force
1745350874.275651,192.168.100.4,192.168.100.5,TCP,22,46748,PA,118,ssh_brute_force
1745350874.278220,192.168.100.5,192.168.100.4,TCP,46748,22,PA,150,ssh_brute_force
1745350874.278248,192.168.100.4,192.168.100.5,TCP,22,46748,A,66,ssh_brute_force
1745350875.932050,192.168.100.4,192.168.100.5,TCP,22,46718,PA,118,ssh_brute_force
1745350875.933481,192.168.100.5,192.168.100.4,TCP,46718,22,PA,142,ssh_brute_force
1745350875.933501,192.168.100.4,192.168.100.5,TCP,22,46718,A,66,ssh_brute_force
1745350875.978195,192.168.100.4,192.168.100.5,TCP,22,46736,PA,118,ssh_brute_force
1745350875.978608,192.168.100.4,192.168.100.5,TCP,22,46716,PA,118,ssh_brute_force
1745350875.979744,192.168.100.5,192.168.100.4,TCP,46736,22,PA,142,ssh_brute_force
1745350875.979763,192.168.100.4,192.168.100.5,TCP,22,46736,A,66,ssh_brute_force
1745350875.992781,192.168.100.5,192.168.100.4,TCP,46716,22,PA,142,ssh_brute_force
1745350875.992800,192.168.100.4,192.168.100.5,TCP,22,46716,A,66,ssh_brute_force
1745350877.630456,192.168.100.4,192.168.100.5,TCP,22,46748,PA,118,ssh_brute_force
1745350877.632288,192.168.100.5,192.168.100.4,TCP,46748,22,PA,150,ssh_brute_force
1745350877.632315,192.168.100.4,192.168.100.5,TCP,22,46748,A,66,ssh_brute_force
1745350879.284890,192.168.100.4,192.168.100.5,TCP,22,46718,PA,118,ssh_brute_force
1745350879.286687,192.168.100.5,192.168.100.4,TCP,46718,22,PA,142,ssh_brute_force
1745350879.286714,192.168.100.4,192.168.100.5,TCP,22,46718,A,66,ssh_brute_force
1745350879.331871,192.168.100.4,192.168.100.5,TCP,22,46736,PA,118,ssh_brute_force
1745350879.333754,192.168.100.5,192.168.100.4,TCP,46736,22,PA,142,ssh_brute_force
1745350879.333780,192.168.100.4,192.168.100.5,TCP,22,46736,A,66,ssh_brute_force
1745350879.344378,192.168.100.4,192.168.100.5,TCP,22,46716,PA,118,ssh_brute_force
1745350879.346088,192.168.100.5,192.168.100.4,TCP,46716,22,PA,150,ssh_brute_force
1745350879.346105,192.168.100.4,192.168.100.5,TCP,22,46716,A,66,ssh_brute_force
1745350880.984321,192.168.100.4,192.168.100.5,TCP,22,46748,PA,118,ssh_brute_force
1745350880.986393,192.168.100.5,192.168.100.4,TCP,46748,22,PA,150,ssh_brute_force
1745350880.986417,192.168.100.4,192.168.100.5,TCP,22,46748,A,66,ssh_brute_force
1745350882.639273,192.168.100.4,192.168.100.5,TCP,22,46718,PA,118,ssh_brute_force
1745350882.640931,192.168.100.5,192.168.100.4,TCP,46718,22,PA,142,ssh_brute_force
1745350882.640955,192.168.100.4,192.168.100.5,TCP,22,46718,A,66,ssh_brute_force
1745350882.666240,192.168.100.4,192.168.100.5,TCP,22,46748,PA,118,ssh_brute_force
1745350882.667896,192.168.100.5,192.168.100.4,TCP,46748,22,PA,142,ssh_brute_force
1745350882.667913,192.168.100.4,192.168.100.5,TCP,22,46748,A,66,ssh_brute_force
1745350882.686033,192.168.100.4,192.168.100.5,TCP,22,46736,PA,118,ssh_brute_force
1745350882.687545,192.168.100.5,192.168.100.4,TCP,46736,22,PA,142,ssh_brute_force
1745350882.687565,192.168.100.4,192.168.100.5,TCP,22,46736,A,66,ssh_brute_force
1745350882.697584,192.168.100.4,192.168.100.5,TCP,22,46716,PA,118,ssh_brute_force
1745350882.699237,192.168.100.5,192.168.100.4,TCP,46716,22,PA,142,ssh_brute_force
1745350882.699253,192.168.100.4,192.168.100.5,TCP,22,46716,A,66,ssh_brute_force
1745350885.993165,192.168.100.4,192.168.100.5,TCP,22,46718,PA,118,ssh_brute_force
1745350885.994939,192.168.100.5,192.168.100.4,TCP,46718,22,PA,150,ssh_brute_force
1745350885.994957,192.168.100.4,192.168.100.5,TCP,22,46718,A,66,ssh_brute_force
1745350886.019053,192.168.100.4,192.168.100.5,TCP,22,46748,PA,118,ssh_brute_force
1745350886.020460,192.168.100.5,192.168.100.4,TCP,46748,22,PA,142,ssh_brute_force
1745350886.020498,192.168.100.4,192.168.100.5,TCP,22,46748,A,66,ssh_brute_force
1745350886.038849,192.168.100.4,192.168.100.5,TCP,22,46736,PA,118,ssh_brute_force
1745350886.040150,192.168.100.5,192.168.100.4,TCP,46736,22,PA,142,ssh_brute_force
1745350886.040167,192.168.100.4,192.168.100.5,TCP,22,46736,A,66,ssh_brute_force
1745350886.050316,192.168.100.4,192.168.100.5,TCP,22,46716,PA,118,ssh_brute_force
1745350886.051435,192.168.100.5,192.168.100.4,TCP,46716,22,PA,142,ssh_brute_force
1745350886.051449,192.168.100.4,192.168.100.5,TCP,22,46716,A,66,ssh_brute_force
1745350889.346412,192.168.100.4,192.168.100.5,TCP,22,46718,PA,118,ssh_brute_force
1745350889.348179,192.168.100.5,192.168.100.4,TCP,46718,22,PA,142,ssh_brute_force
1745350889.348203,192.168.100.4,192.168.100.5,TCP,22,46718,A,66,ssh_brute_force
1745350889.371675,192.168.100.4,192.168.100.5,TCP,22,46748,PA,118,ssh_brute_force
1745350889.373131,192.168.100.5,192.168.100.4,TCP,46748,22,PA,142,ssh_brute_force
1745350889.373153,192.168.100.4,192.168.100.5,TCP,22,46748,A,66,ssh_brute_force
1745350889.392414,192.168.100.4,192.168.100.5,TCP,22,46736,PA,118,ssh_brute_force
1745350889.394053,192.168.100.5,192.168.100.4,TCP,46736,22,PA,142,ssh_brute_force
1745350889.394070,192.168.100.4,192.168.100.5,TCP,22,46736,A,66,ssh_brute_force
1745350889.402949,192.168.100.4,192.168.100.5,TCP,22,46716,PA,118,ssh_brute_force
1745350889.404200,192.168.100.5,192.168.100.4,TCP,46716,22,PA,150,ssh_brute_force
1745350889.404218,192.168.100.4,192.168.100.5,TCP,22,46716,A,66,ssh_brute_force
1745350891.082503,192.168.100.4,192.168.100.5,TCP,22,46716,PA,118,ssh_brute_force
1745350891.083954,192.168.100.5,192.168.100.4,TCP,46716,22,PA,142,ssh_brute_force
1745350891.083979,192.168.100.4,192.168.100.5,TCP,22,46716,A,66,ssh_brute_force
1745350892.700322,192.168.100.4,192.168.100.5,TCP,22,46718,PA,118,ssh_brute_force
1745350892.702471,192.168.100.5,192.168.100.4,TCP,46718,22,PA,150,ssh_brute_force
1745350892.702495,192.168.100.4,192.168.100.5,TCP,22,46718,A,66,ssh_brute_force
1745350892.724771,192.168.100.4,192.168.100.5,TCP,22,46748,PA,118,ssh_brute_force
1745350892.726231,192.168.100.5,192.168.100.4,TCP,46748,22,PA,142,ssh_brute_force
1745350892.726247,192.168.100.4,192.168.100.5,TCP,22,46748,A,66,ssh_brute_force
1745350892.745451,192.168.100.4,192.168.100.5,TCP,22,46736,PA,118,ssh_brute_force
1745350892.746776,192.168.100.5,192.168.100.4,TCP,46736,22,PA,150,ssh_brute_force
1745350892.746793,192.168.100.4,192.168.100.5,TCP,22,46736,A,66,ssh_brute_force
1745350894.436231,192.168.100.4,192.168.100.5,TCP,22,46716,PA,118,ssh_brute_force
1745350894.438548,192.168.100.5,192.168.100.4,TCP,46716,22,PA,142,ssh_brute_force
1745350894.438577,192.168.100.4,192.168.100.5,TCP,22,46716,A,66,ssh_brute_force
1745350896.054148,192.168.100.4,192.168.100.5,TCP,22,46718,PA,118,ssh_brute_force
1745350896.055856,192.168.100.5,192.168.100.4,TCP,46718,22,PA,142,ssh_brute_force
1745350896.055884,192.168.100.4,192.168.100.5,TCP,22,46718,A,66,ssh_brute_force
1745350896.078463,192.168.100.4,192.168.100.5,TCP,22,46748,PA,118,ssh_brute_force
1745350896.079584,192.168.100.5,192.168.100.4,TCP,46748,22,PA,142,ssh_brute_force
1745350896.079607,192.168.100.4,192.168.100.5,TCP,22,46748,A,66,ssh_brute_force
1745350896.099388,192.168.100.4,192.168.100.5,TCP,22,46736,PA,118,ssh_brute_force
